certeza_disc_clas_1,certeza_disc_clas_2,certeza_disc_clas_3,certeza_ofens_clas_1,certeza_ofens_clas_2,certeza_ofens_clas_3,comment,date,disc_clas_1,disc_clas_2,disc_clas_3,id_autor_1,id_autor_2,id_autor_3,keyword,ofens_clas_1,ofens_clas_2,ofens_clas_3,source,odio
-1.0,5.0,5.0,5.0,3.0,5.0,"23h59: Homem também aborta ao abandonar a mulher e o bebê.

00h00: Aborto é um tema que só diz respeito à mulher.

🙄

#AbortoNAO",2020-12-30 18:31:50,0.0,0.0,1.0,-MbqfGyN4rSFxVHQ4Qc6,-MbxDAzod4RHAx3wxVms,-Mbxly2I1H3Jbnwj0BGF,#abortonao,0.0,1.0,1.0,Twitter,0
-1.0,-1.0,-1.0,5.0,3.0,3.0,BOY PQ EU SÓ ATRAIO GURI DE DIREITA SÉRIO AGR EU TENHO CARA DE SER EVANGÉLICA OU ANTIFEMINISTA PFV RESPONDAM,2020-12-26 01:57:39,0.0,0.0,0.0,-Mbm3Wzu2Ar9b0o6YDjX,-MbpxGPiip0WCKKay75Y,-MbsWC0vHjUsEAefWuPI,antifeminista,0.0,0.0,0.0,Twitter,0
5.0,-1.0,-1.0,5.0,3.0,4.0,@NOME Sim. Misoginia do início ao fim.,2020-12-31 16:08:40,1.0,0.0,0.0,-MbqQtXIselC0XsoDZn7,-Mbsjoi6YMnvWAkXhILW,-MbxAkmihTQeEppUb3js,misoginia,1.0,0.0,0.0,Twitter,0
3.0,5.0,5.0,5.0,5.0,5.0,@NOME sua mal amada era pra vc me apoiar,2020-12-31 04:09:09,1.0,1.0,1.0,-MbqXNQzSyKLZV8Lhfcb,-MbrnPqG9UIWOOwW__Fw,-MbvmGux1aI7cWo8LXTy,mal_amada,1.0,1.0,1.0,Twitter,1
-1.0,-1.0,-1.0,5.0,5.0,5.0,"Sou totalmente contra assassinato de bbzinhos.
#AbortoNAO",2020-12-30 18:37:15,0.0,0.0,0.0,-MbnBaGHqzS2uoTDySPa,-Mbw60jR_swWQD5ldE6c,-Mbw8IDTfV5JIuI55yXN,#abortonao,0.0,0.0,0.0,Twitter,0
5.0,5.0,4.0,5.0,5.0,4.0,"@NOME Ta a cara de ser uma mal amada,mas eu nn ligo kkkk",2020-12-31 20:54:11,1.0,1.0,1.0,-Mbpd4g2hSTr6hSe7DJ1,-MbqvazKOVg0FkJE6tTe,-MbuFgazPlTfz48LJmWu,mal_amada,1.0,1.0,1.0,Twitter,1
-1.0,-1.0,-1.0,5.0,4.0,4.0,Mas e a T.T. o fez mais pelo Brasil do que  o bozo e os bozinhos ...................,2020-12-28 19:48:13,0.0,0.0,0.0,-MbuXC4EWC4UY-9h_s8Q,-MbxAkmihTQeEppUb3js,-MbxdnTMqmzWC8Oo7quH,thelma,0.0,0.0,0.0,Twitter,0
-1.0,-1.0,-1.0,4.0,2.0,5.0,"Todo dia os cara pegam no pé da A.T. e da Prioli. SÉRIO, TODO DIA.",2020-12-03 14:32:52,0.0,0.0,0.0,-MbnPhClkI8FCRLhRk91,-MbrsZBCkFFDmuQ3XhIV,-Mbs3IKpL9PTPFDxh4bT,tabata_amaral,0.0,0.0,0.0,Twitter,0
5.0,-1.0,-1.0,5.0,5.0,5.0,"Esta semana, vi uma foto de Michele e Obama num caiaque (ou algo parecido) e um monte de tweets pejorativos. Os tweets eram de brasileiros seguindo o exemplo de americanos.
O tom era nitidamente racista e machista mas, se eu disser isso, vão me chamar de feminazi.",2020-12-26 20:39:22,1.0,0.0,0.0,-MbxCwlvl8bPf5Dz6QNO,-MbxT9y0uGVbXuXsCtuS,-Mc-OStHL1if_RJng0Xi,feminazi,1.0,0.0,0.0,Twitter,0
-1.0,5.0,-1.0,3.0,5.0,3.0,"os gays tentando defender ww84 é muito engraçado, eles acusando mulheres de misoginia pq não gostaram das questões problemáticas do filme",2020-12-30 20:32:41,0.0,1.0,0.0,-MbxDAzod4RHAx3wxVms,-MbxYSgqQHBVW_nw59eq,-MbxkANcYZ2SpNeJ6I1H,misoginia,0.0,1.0,0.0,Twitter,0
-1.0,5.0,-1.0,1.0,5.0,4.0,"Seria o canal de parto o que define o feto como ser humano? 

#AbortoNAO",2020-12-30 18:26:24,0.0,1.0,0.0,-MbsnMxluu65RRo6xtkQ,-MbxaCTJrDC0rNAJbZmp,-MbxZSdP0MH4BGLg_C3P,#abortonao,0.0,1.0,0.0,Twitter,0
-1.0,-1.0,-1.0,5.0,4.0,3.0,"@NOME @NOME Desculpa, amigo. Mas nao tem justificativa para misoginia.
Uma coisa é dar respeito e receber.
Nunca faltei com respeito a ngm
Mas para misoginia... Não, nao tem desculpas",2020-12-30 16:44:35,0.0,0.0,0.0,-MbsRJq8vecyEL8kQMsd,-MbxD-oLs_APWyM7icoR,-MbxIktVoA1MAZfWADYq,misoginia,0.0,0.0,0.0,Twitter,0
-1.0,-1.0,-1.0,4.0,4.0,4.0,"todo apoio às pessoas que trabalham com sexo (por opção ou não) e, claro, sintam-se à vontade pra mandar a merda caso fale bosta.

aqui tbm é: anti islamofobia; gayzista; abortista; mundinho U2 br; emocore; absurdista; gatos; nsfw e gore de vez em quando.",2020-12-21 16:38:47,0.0,0.0,0.0,-MbqHi9CHeZ3Y24eRxVf,-MbrLgLjb2ieDf_XyhVi,-MbsRm2o_iN8sP8SN5CD,abortista,0.0,0.0,0.0,Twitter,0
-1.0,4.0,3.0,2.0,4.0,5.0,meu irmão e cunhada tão presos em sei lá 2012 falando feminazi,2020-12-26 01:23:18,0.0,1.0,0.0,-Mbst84pGYirW8yWu0vn,-MbxEPpE9G3yurEWRqa6,-MbxR2jF_ZAC0VRKQZRK,feminazi,0.0,1.0,1.0,Twitter,0
5.0,5.0,4.0,5.0,5.0,5.0,"@NOME @NOME ela não só conhece cirurgia como é anestesiologista, bem sucedida, milionária e muito bem casada. ao contrário de vc que é horrorosa, burra, desocupada, fracassada e mal comida",2020-12-28 18:50:54,1.0,1.0,1.0,-MbqGk9KeOIP4tEHvdy_,-MbxZSdP0MH4BGLg_C3P,-Mc-WpiVRSJmiWG6VdQR,mal_comida,1.0,1.0,1.0,Twitter,1
3.0,5.0,5.0,4.0,5.0,5.0,"credo parece aquelas feminazi, mas eh isso aí fodase",2020-12-25 23:03:51,1.0,1.0,1.0,-MbxJnMRTITbirZ7AF0P,-Mc-IvhxaKxM_al_-dpx,-Mc-VEygIBzmG9aSMuFF,feminazi,1.0,1.0,1.0,Twitter,1
-1.0,-1.0,-1.0,5.0,5.0,5.0,o que é misoginia,2020-12-30 19:30:05,0.0,0.0,0.0,-MbqExBzak1lkTI0Js6V,-MbqPddWTFBFWAzt1DaI,-MbvHUHTyjbpclmCSrSs,misoginia,0.0,0.0,0.0,Twitter,0
5.0,5.0,5.0,5.0,5.0,5.0,Elizabeth Keen é uma filha da puta vaca vadia desgraçada arrombada paquita mal comida.,2020-12-31 03:06:31,1.0,1.0,1.0,-MbpxGPiip0WCKKay75Y,-MbsWC0vHjUsEAefWuPI,-MbtBcDnERcVfOzMaRPV,mal_comida,1.0,1.0,1.0,Twitter,1
-1.0,-1.0,-1.0,5.0,5.0,4.0,"@NOME Acho baixo. Festival de misoginia . Maioria das músicas que ouço, é objetificação da mulher. Não ouço crítica contra estas músicas.",2021-01-01 04:37:04,0.0,0.0,0.0,-MbxIktVoA1MAZfWADYq,-MbxtbEsECKdYCPiwuzL,-Mby1SF8yXKwgoKry5qL,misoginia,0.0,0.0,0.0,Twitter,0
5.0,5.0,5.0,5.0,5.0,5.0,Mulher mal comida é o erro..,2020-12-30 13:41:05,1.0,1.0,1.0,-MbsRJq8vecyEL8kQMsd,-MbuUSQVTcxRnwPOSqEf,-MbxDVojjGzbAEqvGKoX,mal_comida,1.0,1.0,1.0,Twitter,1
-1.0,5.0,-1.0,5.0,5.0,4.0,@NOME @NOME A isatoro não é antifeminista,2020-12-29 15:58:14,0.0,1.0,0.0,-MbmOXz8qo9pxq5oil60,-MbrPXWxytMqR1FQdmrd,-MbuoWSxEmfiBDlmMUYh,antifeminista,0.0,1.0,0.0,Twitter,0
5.0,5.0,4.0,5.0,5.0,5.0,"Matérias q deveriam ser obrigatórias (meninos)
- PORT/MATEM
- Geografia/Hist
- Largar de viadagem
- Seja homem
- Coma mulher direito seu FDP",2016-09-24 21:20:05,1.0,1.0,0.0,-Mbpd4g2hSTr6hSe7DJ1,-MbqESFeqULCwYNsYh5A,-MbqHi9CHeZ3Y24eRxVf,user_clubedomacho,1.0,1.0,1.0,Twitter,0
3.0,5.0,5.0,4.0,5.0,5.0,@NOME e oq isso tem a ver vaca mal amada,2020-12-31 01:46:32,1.0,1.0,1.0,-MbqQtXIselC0XsoDZn7,-Mbr0bcYjnYf-rx5euAt,-MbseRv1HGCl9a-oNOnP,mal_amada,1.0,1.0,1.0,Twitter,1
-1.0,4.0,3.0,3.0,5.0,4.0,@NOME Se ele faz parte da gangue da A.T. não presta.,2020-12-04 17:22:57,0.0,0.0,0.0,-MbnK3Ms5RiB8GU6aX8v,-Mbpd4g2hSTr6hSe7DJ1,-MbxEjtAo6dnZQYi6Kxg,tabata_amaral,0.0,1.0,1.0,Twitter,0
5.0,5.0,5.0,5.0,5.0,4.0,"seus brucutu, vcs nem tem útero calem a boca  #AbortoNAO",2020-12-30 18:39:23,1.0,0.0,0.0,-Mbww-hmr5zDEO9Paasj,-MbxDAzod4RHAx3wxVms,-MbzwS_o-uV4Sgz9RRis,#abortonao,1.0,1.0,1.0,Twitter,0
-1.0,-1.0,-1.0,5.0,5.0,3.0,"Aborto é um assunto polêmico demais para eu dar algum tipo de opinião exata. 😬
#AbortoSim #AbortoNAO #AbortoLegalYa",2020-12-30 18:36:09,0.0,0.0,0.0,-MbnBaGHqzS2uoTDySPa,-MbwtFcuHPUS7ihuqmvh,-MbxSQFdvUBiTvO437n_,#abortonao,0.0,0.0,0.0,Twitter,0
5.0,5.0,5.0,5.0,5.0,5.0,@NOME @NOME @NOME @NOME Esse ou eh gado submisso de feminazi doente ou queima. N há terceira opção.,2020-12-25 14:49:58,1.0,0.0,0.0,-MbqCQQCtKx2xVB3sWYy,-MbxnGvfTnnWTcWfXxW-,-Mc-UjMUMK9WticROlvE,feminazi,1.0,1.0,1.0,Twitter,0
3.0,-1.0,3.0,5.0,5.0,4.0,#AbortoNAO o meu cu,2020-12-30 18:18:44,1.0,0.0,0.0,-Mbr7mP6pG2zI8XxsbRx,-MbxDGAS15igJssvWISI,-MbxDIMf9wNciFSr-vcM,#abortonao,1.0,0.0,1.0,Twitter,0
5.0,-1.0,-1.0,5.0,5.0,5.0,"Em 2018 581.913 mulheres morreram no Brasil:

. AVC - 34,2%
. Infarto - 30,1%
. Câncer - 18,3%
. Eclâmpsia - 14,2%
. Acidentes - 9,5%
. Agressões - 5,5%
. HIV - 4,8%
. Pneumonia - 2,9%
. Diabetes - 2,7%

. Aborto - 0,01%

Aborto não tem NADA a ver com saúde. #AbortoNAO",2020-12-30 18:19:21,1.0,0.0,0.0,-MbqXNQzSyKLZV8Lhfcb,-MbsNZ8Pyab6uWeBBvWu,-Mc-TQfO8-76p-icY3kv,#abortonao,1.0,0.0,0.0,Twitter,0
3.0,5.0,5.0,4.0,5.0,5.0,@NOME coisa de gente mal amada amiga manda se foder,2020-12-31 23:26:39,0.0,1.0,1.0,-Mbr6uxRPHJP1-Qj70v9,-MbxCwHaogCdWa8l1nmo,-MbyM1KMnHPUlsf9yc3C,mal_amada,1.0,1.0,1.0,Twitter,0
3.0,2.0,-1.0,5.0,4.0,4.0,"Infelizmente vejo uma galera ""catolica"" comemorando a legalização do aborto na Argentina, so digo uma coisa para vocês que estão comenorando: vocês não são catolicos. 
#AbortoNAO #favordavida",2020-12-30 18:29:45,1.0,0.0,0.0,-MbrH9g8Zs4IGqgYYFgX,-MbuTjHmfxHRH7dIHxol,-MbzyjM1YryKwXhrWC41,#abortonao,1.0,1.0,0.0,Twitter,0
3.0,5.0,5.0,5.0,5.0,5.0,A NAO MANO PORRA SUA IDIOTA PARABENS Q ODIO PUTA PIRANHA CACHORRA CAPIVARA PUTA MAL COMIDA VADIA SALAME DE QUEIJO DERRETIDO DESODORANTE VENCIDO MERCADO PODRE,2021-01-01 03:14:07,1.0,1.0,1.0,-MblWwOVnnvF6eAhsQd1,-MbxCpGgTTBRH_EMUAJX,-MbxGAT0Ig1pl0BZAUzi,mal_comida,1.0,1.0,1.0,Twitter,1
5.0,4.0,-1.0,4.0,4.0,3.0,O Twitter odeia mais a A.T. e a Gabriela Prioli do que o próprio Bolsonaro,2020-12-03 15:31:30,1.0,1.0,0.0,-Mbr6uxRPHJP1-Qj70v9,-MbsYKqmcBSgBoYhMBkF,-MbxDgsK_XrXhCr_aRyN,tabata_amaral,1.0,1.0,0.0,Twitter,0
-1.0,-1.0,-1.0,5.0,4.0,5.0,"@NOME @NOME E quem cuida dos direitos do ser indefeso que não pediu para estar ali. Vc nunca ouviu o coraçãozinho de um bebe em um exame,  ouviu? Se tivesse ouvido nunca defenderia o aborto. #AbortoNAO",2020-12-30 18:32:19,0.0,0.0,0.0,-MbxfumjPove_5lAM2Ri,-Mc--s6LN59ZlZw6WPWn,-Mc-2XumHUU6zakfZuWA,#abortonao,0.0,0.0,0.0,Twitter,0
-1.0,5.0,5.0,5.0,4.0,5.0,"Pode bater em mulher não, amiguinho. Larga de ser retardado",2016-11-07 00:54:59,0.0,0.0,0.0,-MbqDiVyGQ0Dm8o76g4g,-MbsWC0vHjUsEAefWuPI,-Mbse_lM8FrEkgWeVJEG,user_clubedomacho,0.0,1.0,1.0,Twitter,0
5.0,5.0,5.0,5.0,5.0,5.0,@NOME @NOME Sai dai feminazi.. Aprende a ser mulher para não virar marmita de maconheiro psolista,2020-12-28 03:46:37,1.0,1.0,1.0,-MbnLgqFM-U0jHBFXYlg,-MbxDaCRmnjvGG6DuGeD,-MbxaCTJrDC0rNAJbZmp,feminazi,1.0,1.0,1.0,Twitter,1
-1.0,3.0,5.0,5.0,3.0,5.0,"É só se previnir que não engravida. 😒 Pra cima de mim? 😂 Assassinato!!! 😡
Aborto só na condição de estupro ou a vida da mulher em risco. Caso contrário, previne-se. Bjs de luz! 🙌🏼
#AbortoNAO #Argentina",2020-12-30 18:44:11,0.0,1.0,1.0,-MbsRm2o_iN8sP8SN5CD,-MbyD3PdRCyjxvcTqWuV,-Mc-2OIc1qYiZEzOUQnB,#abortonao,0.0,1.0,1.0,Twitter,0
5.0,5.0,5.0,4.0,5.0,5.0,"@NOME 🤔🤔🤔🤔uma abortista grávida e vai levar a gravidez até o final?? Hipocrisia e seu lema de vida  ,aborto para seus filhos e vida para os meus",2020-12-28 14:51:59,1.0,1.0,1.0,-MbxLJj4LsbdXk2k9rqT,-MbxTZKX4pJJ_c4RjZFB,-Mc-Oy1Zg6pqoap9OhDr,abortista,1.0,1.0,1.0,Twitter,1
5.0,2.0,5.0,5.0,2.0,5.0,"Mulheres querem ganhar igual a homens mas inventam expressões como ""close certo"" ""close errado"" , aí fica difícil",2016-08-24 15:01:47,1.0,1.0,1.0,-Mbrejb7ZvKegqnEATvS,-MbverKA3_czFmHGAkKi,-MbxGsEespP2EnnZ05Mk,user_clubedomacho,1.0,1.0,1.0,Twitter,1
5.0,5.0,5.0,5.0,5.0,5.0,@NOME Biscate rampeira vagabunda desgraçada atoa mal amada mal comida falta de uma surra naquela cara de buceta azeda dela,2020-12-31 19:02:33,1.0,1.0,1.0,-MbrkeiYQyvjcjDTaCYh,-MbxtbEsECKdYCPiwuzL,-Mby8WFORGqEQlxSAEqL,mal_comida,1.0,1.0,1.0,Twitter,1
2.0,5.0,5.0,3.0,5.0,5.0,@NOME @NOME @NOME Cadê sua foto ? Você disse que ia botar kkkk duas poc mal comida,2020-12-28 01:39:02,1.0,0.0,1.0,-MblWwOVnnvF6eAhsQd1,-MbrXeGPm84uPDqKwzsp,-MbxCr-J8h2AqDfhKWrt,mal_comida,1.0,1.0,1.0,Twitter,0
-1.0,3.0,-1.0,5.0,3.0,5.0,"@NOME A trevas comemorando..
#AbortoNAO",2020-12-30 18:32:50,0.0,0.0,0.0,-MbrXeGPm84uPDqKwzsp,-MbsNVT8FrM1E2bRVG3z,-MbsWC0vHjUsEAefWuPI,#abortonao,0.0,1.0,0.0,Twitter,0
-1.0,-1.0,4.0,3.0,3.0,4.0,mulher conservadora antifeminista é um bicho que evito ter contato pq eu realmente tenho medo delas,2020-12-25 08:16:16,0.0,0.0,1.0,-MbpxGPiip0WCKKay75Y,-MbrKzF8ngfyqAPWfsXS,-MbxerI0p-uyrxvRGi1j,antifeminista,0.0,0.0,1.0,Twitter,0
-1.0,4.0,-1.0,5.0,4.0,4.0,@NOME Iiiih... Muier na net #mgtow,2020-12-23 00:25:17,0.0,1.0,0.0,-MbqPddWTFBFWAzt1DaI,-MbsHX1zJAHZPoxxhgYW,-MbsORvOt2EHHfCsrHWo,#mgtow,0.0,1.0,0.0,Twitter,0
5.0,-1.0,5.0,4.0,3.0,5.0,"Só pode ser muito doente pra se alegrar com a morte de um inocente

Aí eu lembro esse povinho apoia a liberdade de gente que mata a sangue frio e estupra o assassinato de um bebê é fácil de encarar pra eles. 
#AbortoNAO",2020-12-30 18:16:55,0.0,0.0,1.0,-MbrPp-aoPqHqiUfm0yN,-MbuLeOPzfdNmmeu62v0,-MbuUwIgYHfPLHweTEA0,#abortonao,1.0,0.0,1.0,Twitter,0
5.0,-1.0,3.0,5.0,5.0,4.0,Fala mal da T.T. pra vc ver se a gente não cai no soco,2020-12-28 20:02:46,1.0,0.0,0.0,-MbqeN5eCoZAV0xAwfKx,-MbxZSdP0MH4BGLg_C3P,-MbxbdnKnFKmGemq0-CH,thelma,1.0,0.0,1.0,Twitter,0
4.0,5.0,-1.0,5.0,5.0,5.0,@NOME Clbc mulher #mgtow,2020-12-22 01:27:00,1.0,1.0,0.0,-MbnEcV6G81uYLHcCnGh,-MbvFQL6V9IID_fB7QBn,-Mc-S2ENGoaw8UJ7KIYL,#mgtow,1.0,1.0,0.0,Twitter,0
4.0,5.0,5.0,5.0,5.0,5.0,CHUPA FEMINISTAS,2016-08-20 23:10:21,0.0,1.0,1.0,-MbqOQINjcp6B5uYdNQt,-MbqRuBKZkjUNTFXbZ8f,-MbxDwNDMJ6rywMpC4j0,user_clubedomacho,1.0,1.0,1.0,Twitter,0
5.0,-1.0,5.0,5.0,3.0,5.0,@NOME pior é que A.T. e haddad devem discordar em tipo uma ou duas coisas mas na cabeça dessa galera uma é hitler e o outro é o maior esquerdista de todos os tempos !,2020-12-04 04:29:39,1.0,0.0,0.0,-MbrhfgmChgwkLoraoUy,-Mbtic3jdwXfqiqEElae,-MbuUwIgYHfPLHweTEA0,tabata_amaral,1.0,0.0,1.0,Twitter,0
-1.0,-1.0,4.0,5.0,5.0,3.0,"Então, poste aí, #AbortoNao !",2020-12-30 18:26:09,0.0,0.0,1.0,-MbmHOulMb66T3BroPYd,-MbxD4dH-cRaGSNw_PtO,-MbxEjtAo6dnZQYi6Kxg,#abortonao,0.0,0.0,1.0,Twitter,0
-1.0,4.0,2.0,4.0,4.0,3.0,"@NOME Eu estava falando sobre acusação de misoginia. Mas você age como pré adolescente na internet, com uma vida bosta. Então não vou gastar tempo e energia com você pq não discuto com pessoas sem o mínimo de maturidade. E repito, tente pelo menos hoje ser feliz, pq é nítido q vc nao é",2021-01-01 14:23:42,0.0,0.0,1.0,-MbrjsmMSD4VHCO5ncct,-MbxDKqwYWkH4NfNjK0_,-MbxmLpDFm4Tp_ILCUJF,misoginia,0.0,1.0,1.0,Twitter,0
-1.0,5.0,2.0,4.0,4.0,2.0,@NOME #AbortoNAO isto é assassinato.,2020-12-30 18:26:11,0.0,1.0,1.0,-Mbr2BqrQTgFi33HmW3p,-Mbxfpgiycf6g3-kYaXv,-Mc-TQfO8-76p-icY3kv,#abortonao,0.0,1.0,1.0,Twitter,0
5.0,5.0,5.0,5.0,5.0,5.0,puta degenerada gorda paranoica louca doida sem amigos mono-teta professora corna peluda arrombada sem bunda descabelada vaca imbecil velha rampeira meretrix paquita mal comida arrebentada lixo xorume sua mãe é uma puta sua merda sua bosta sua porca cuzona cu preto,2020-12-28 19:30:35,1.0,1.0,1.0,-MblUVsW0OqxJiHBk887,-MbtBcDnERcVfOzMaRPV,-MbxZSdP0MH4BGLg_C3P,mal_comida,1.0,1.0,1.0,Twitter,1
-1.0,-1.0,-1.0,4.0,2.0,5.0,@NOME Clínica abortista,2020-12-26 11:41:17,0.0,0.0,0.0,-MbxDAuKOgpRolJ2nPTp,-MbxRA_6fqN4xWKC-Wj7,-Mby4DsT4ZFmbqJAyhhU,abortista,0.0,0.0,0.0,Twitter,0
-1.0,3.0,3.0,5.0,5.0,3.0,"@NOME @NOME @NOME @NOME O cara quer falar de feminismo e o nome dele é distorcido do feminino pra o masculino. Quer mais machismo que isso? Seu nome já é antifeminista. ""Vitorio"" hahahaha",2020-12-28 15:26:18,0.0,0.0,1.0,-MbnBaGHqzS2uoTDySPa,-MbxJnMRTITbirZ7AF0P,-MbxtbEsECKdYCPiwuzL,antifeminista,0.0,1.0,1.0,Twitter,0
-1.0,-1.0,4.0,2.0,5.0,4.0,"KKKKKKKKKKKKKKKKK vou morrer 
Os brasileiros bolsominions brancos de classe média alta estão indignados com a lei na ARGENTINA
Eles juram que vão mudar alguma coisa vindo aqui no tt reclamar 
Micooo
#AbortoNAO",2020-12-30 18:27:58,0.0,0.0,1.0,-MbpxGPiip0WCKKay75Y,-MbxDgsK_XrXhCr_aRyN,-MbxDaCRmnjvGG6DuGeD,#abortonao,0.0,0.0,1.0,Twitter,0
5.0,4.0,5.0,5.0,4.0,5.0,"@NOME Pra mim tu é só uma puta mal comida blogueirinha, se tu quer falar não fala no tt não mano, fala na minha cara, ou tem medo tbm ? Pq até onde eu sei vc me manda recado pelos outros",2020-12-29 21:31:24,1.0,1.0,1.0,-MbqHI6dbsnFI1OVIARq,-Mbsjoi6YMnvWAkXhILW,-Mbuc6KoWG4HdPYTxs45,mal_comida,1.0,1.0,1.0,Twitter,1
-1.0,2.0,3.0,4.0,5.0,4.0,"@NOME @NOME @NOME Kkkkkk só sabe dizer isso ??? Debata, discorde dela com argumentos válidos, vcs vivem chupando Lula, A.T. e etc. E ngm fala nada disso, ai agr vcs podem né ? Vc é burro em dizer apenas isso, intelectual fodido o seu",2020-12-04 05:07:16,0.0,1.0,0.0,-MbqE9E88qWpTgHvdYqC,-MbreiapWwMZkNFFbZ5n,-Mbsjoi6YMnvWAkXhILW,tabata_amaral,0.0,1.0,1.0,Twitter,0
